method,stage,t,d_median,d_q25,d_q75,tau,n_rollouts
seq,2,245,33.6036,17.5804,44.3455,3.8298,30
seq,2,250,33.6026,17.5781,44.3447,3.8298,30
seq,2,255,33.6016,17.5739,44.5363,3.8298,30
seq,2,260,33.6797,17.5638,45.9922,3.8298,30
seq,2,265,33.6813,17.5313,45.9922,3.8298,30
seq,2,270,33.6837,17.5162,45.9926,3.8298,30
seq,2,275,33.7430,17.5098,45.9934,3.8298,30
seq,2,280,33.7377,17.5141,45.9918,3.8298,30
seq,2,285,33.7320,17.5178,45.9922,3.8298,30
seq,2,290,34.4129,17.5333,44.6908,3.8298,30
seq,2,295,34.9422,17.5167,46.8906,3.8298,30
seq,3,0,1.1697,1.0184,1.4605,3.8298,30
seq,3,5,1.1506,1.0240,1.4482,3.8298,30
seq,3,10,1.1582,1.0626,1.4520,3.8298,30
seq,3,15,1.2303,1.1436,1.4472,3.8298,30
seq,3,20,1.3787,1.2296,1.5687,3.8298,30
seq,3,25,1.5436,1.3466,1.8206,3.8298,30
seq,3,30,1.7070,1.5660,2.0174,3.8298,30
seq,3,35,1.8714,1.7862,2.2359,3.8298,30
seq,3,40,1.9645,1.8071,2.3152,3.8298,30
seq,3,45,2.0743,1.9152,2.3841,3.8298,30
seq,3,50,2.3416,2.0081,2.7217,3.8298,30
seq,3,55,2.3797,2.1346,2.7865,3.8298,30
seq,3,60,2.5486,2.2072,2.7698,3.8298,30
seq,3,65,2.3109,1.9064,2.5802,3.8298,30
seq,3,70,2.2272,1.7619,2.4968,3.8298,30
seq,3,75,2.0632,1.7108,2.3363,3.8298,30
seq,3,80,2.1388,1.8264,2.2463,3.8298,30
seq,3,85,1.9595,1.8335,2.3141,3.8298,30
seq,3,90,2.0266,1.6877,2.2445,3.8298,30
seq,3,95,2.0045,1.7421,2.3301,3.8298,30
seq,3,100,2.0027,1.7672,2.4409,3.8298,30
seq,3,105,2.2871,1.7843,2.6128,3.8298,30
seq,3,110,2.5427,1.9454,2.8547,3.8298,30
seq,3,115,2.5405,2.1326,3.1086,3.8298,30
seq,3,120,2.4667,2.1092,2.9118,3.8298,30
seq,3,125,2.2850,2.0741,2.6962,3.8298,30
seq,3,130,2.3597,2.1380,2.6812,3.8298,30
seq,3,135,2.4185,2.1647,2.7559,3.8298,30
seq,3,140,2.5424,2.1620,2.9288,3.8298,30
seq,3,145,2.4635,2.0633,3.1023,3.8298,30
seq,3,150,2.4638,2.0033,2.9103,3.8298,30
seq,3,155,2.4132,2.0992,2.7757,3.8298,30
seq,3,160,2.5808,2.1527,2.7714,3.8298,30
seq,3,165,2.5990,2.1585,3.2010,3.8298,30
seq,3,170,2.5448,2.1852,3.2168,3.8298,30
seq,3,175,2.4973,2.0677,3.3932,3.8298,30
seq,3,180,2.4343,1.9652,3.6039,3.8298,30
seq,3,185,2.4707,2.0100,4.1458,3.8298,30
seq,3,190,2.4990,2.0432,4.8229,3.8298,30
seq,3,195,2.6287,2.1554,5.0641,3.8298,30
seq,3,200,3.0930,2.3016,5.6278,3.8298,30
seq,3,205,3.3908,2.3137,5.8696,3.8298,30
seq,3,210,3.2828,2.3924,6.0146,3.8298,30
seq,3,215,3.7440,2.4912,6.9878,3.8298,30
seq,3,220,3.7109,2.4548,6.4269,3.8298,30
seq,3,225,3.4600,2.4436,5.9682,3.8298,30
seq,3,230,3.3475,2.5296,6.4427,3.8298,30
seq,3,235,3.4138,2.5869,6.6376,3.8298,30
seq,3,240,3.5786,2.4783,6.8366,3.8298,30
seq,3,245,3.7867,2.3570,6.9503,3.8298,30
seq,3,250,3.8276,2.2913,7.5291,3.8298,30
seq,3,255,3.8529,2.2740,7.0350,3.8298,30
seq,3,260,4.1757,2.3534,7.6646,3.8298,30
seq,3,265,4.3780,2.4126,6.7477,3.8298,30
seq,3,270,4.3680,2.7051,6.3606,3.8298,30
seq,3,275,4.3853,2.9508,6.1962,3.8298,30
seq,3,280,4.0982,2.9777,6.1067,3.8298,30
seq,3,285,4.0184,3.2639,6.5648,3.8298,30
seq,3,290,4.0599,3.2000,6.6297,3.8298,30
seq,3,295,4.6355,3.3280,6.9014,3.8298,30
seq,4,0,1.1690,1.0091,1.4599,3.8298,30
seq,4,5,1.1371,1.0105,1.4569,3.8298,30
seq,4,10,1.1947,1.0683,1.4916,3.8298,30
seq,4,15,1.3260,1.1592,1.5433,3.8298,30
seq,4,20,1.4887,1.2809,1.5652,3.8298,30
seq,4,25,1.6326,1.4273,1.7234,3.8298,30
seq,4,30,1.7979,1.6080,1.8634,3.8298,30
seq,4,35,1.9373,1.7932,2.0580,3.8298,30
seq,4,40,2.0249,1.8772,2.2044,3.8298,30
seq,4,45,2.1785,2.0766,2.3842,3.8298,30
seq,4,50,2.2569,2.0277,2.4510,3.8298,30
seq,4,55,2.2277,1.9900,2.4017,3.8298,30
seq,4,60,2.2586,2.0231,2.4201,3.8298,30
seq,4,65,2.1496,1.9409,2.3441,3.8298,30
seq,4,70,2.0733,1.9442,2.3263,3.8298,30
seq,4,75,2.0890,1.8494,2.2541,3.8298,30
seq,4,80,2.0390,1.8858,2.3026,3.8298,30
seq,4,85,2.0576,1.8313,2.2504,3.8298,30
seq,4,90,2.0935,1.7827,2.2570,3.8298,30
seq,4,95,2.1361,1.7280,2.2851,3.8298,30
seq,4,100,2.1855,1.7820,2.3810,3.8298,30
seq,4,105,2.1692,1.9435,2.4201,3.8298,30
seq,4,110,2.1665,2.0198,2.4704,3.8298,30
seq,4,115,2.1469,1.9209,2.6582,3.8298,30
seq,4,120,2.4546,1.9509,2.8507,3.8298,30
seq,4,125,2.4539,2.0418,2.9431,3.8298,30
seq,4,130,2.4346,2.1307,2.8898,3.8298,30
seq,4,135,2.4716,2.0977,2.8662,3.8298,30
seq,4,140,2.5154,2.0741,3.1241,3.8298,30
seq,4,145,2.5294,1.9745,2.7711,3.8298,30
seq,4,150,2.5099,2.0124,2.7392,3.8298,30
seq,4,155,2.5124,2.0725,2.7984,3.8298,30
seq,4,160,2.5520,2.1334,2.8717,3.8298,30
seq,4,165,2.6270,2.0397,2.8713,3.8298,30
seq,4,170,2.5108,2.1052,2.8450,3.8298,30
seq,4,175,2.5849,2.0477,3.2950,3.8298,30
seq,4,180,2.5179,2.2062,3.4260,3.8298,30
seq,4,185,2.8356,2.2181,3.7292,3.8298,30
seq,4,190,3.1078,2.2552,3.8601,3.8298,30
seq,4,195,2.9232,2.3145,3.9465,3.8298,30
seq,4,200,3.0392,2.3074,3.9951,3.8298,30
seq,4,205,3.0508,2.3796,3.9686,3.8298,30
seq,4,210,2.8973,2.4015,4.1101,3.8298,30
seq,4,215,2.8985,2.3324,4.2204,3.8298,30
seq,4,220,2.9045,2.3011,3.9256,3.8298,30
seq,4,225,2.8499,2.4487,3.8589,3.8298,30
seq,4,230,2.8201,2.4224,4.3682,3.8298,30
seq,4,235,2.7762,2.2930,4.0557,3.8298,30
seq,4,240,2.9548,2.3011,4.8980,3.8298,30
seq,4,245,2.8554,2.2314,4.5029,3.8298,30
seq,4,250,2.8953,2.2808,4.4463,3.8298,30
seq,4,255,3.0501,2.2259,4.8879,3.8298,30
seq,4,260,3.2850,2.2988,5.1354,3.8298,30
seq,4,265,3.1170,2.2859,5.0234,3.8298,30
seq,4,270,3.1536,2.6259,4.9360,3.8298,30
seq,4,275,3.2577,2.6836,4.9904,3.8298,30
seq,4,280,3.1822,2.7242,4.9215,3.8298,30
seq,4,285,3.2887,2.7594,4.8951,3.8298,30
seq,4,290,3.6281,2.7812,5.3977,3.8298,30
seq,4,295,3.7786,2.8263,5.1568,3.8298,30
ewc,1,0,1.1644,1.0311,1.4447,3.8298,30
ewc,1,5,1.1565,1.0375,1.4369,3.8298,30
ewc,1,10,1.2107,1.0536,1.4373,3.8298,30
ewc,1,15,1.2237,1.0776,1.4417,3.8298,30
ewc,1,20,1.1726,1.0969,1.4547,3.8298,30
ewc,1,25,1.1760,1.0593,1.4427,3.8298,30
ewc,1,30,1.1768,1.0464,1.4610,3.8298,30
ewc,1,35,1.1739,1.0505,1.4986,3.8298,30
ewc,1,40,1.1811,1.0906,1.5806,3.8298,30
ewc,1,45,1.3778,1.2175,1.6239,3.8298,30
ewc,1,50,1.5929,1.4284,1.8860,3.8298,30
ewc,1,55,1.8004,1.5700,2.0229,3.8298,30
ewc,1,60,1.8876,1.6564,2.1715,3.8298,30
ewc,1,65,1.9553,1.5865,2.3355,3.8298,30
ewc,1,70,1.8020,1.5200,2.2208,3.8298,30
ewc,1,75,1.9141,1.4918,2.2732,3.8298,30
ewc,1,80,1.8530,1.5807,2.4946,3.8298,30
ewc,1,85,1.8530,1.6280,2.4376,3.8298,30
ewc,1,90,1.8416,1.6280,2.3638,3.8298,30
ewc,1,95,1.7638,1.6197,2.3638,3.8298,30
ewc,1,100,1.7638,1.6197,2.3638,3.8298,30
ewc,1,105,1.7638,1.6197,2.3638,3.8298,30
ewc,1,110,1.7638,1.6197,2.3101,3.8298,30
ewc,1,115,1.7638,1.6197,2.2668,3.8298,30
ewc,1,120,1.7638,1.6197,2.2668,3.8298,30
ewc,1,125,1.7638,1.6197,2.2668,3.8298,30
ewc,1,130,1.7638,1.6197,2.2668,3.8298,30
ewc,1,135,1.7638,1.6197,2.2668,3.8298,30
ewc,1,140,1.7638,1.6197,2.2668,3.8298,30
ewc,1,145,1.7638,1.6197,2.2668,3.8298,30
ewc,1,150,1.7638,1.6197,2.2668,3.8298,30
ewc,1,155,1.7638,1.6197,2.2668,3.8298,30
ewc,1,160,1.7638,1.6197,2.2668,3.8298,30
ewc,1,165,1.7638,1.6197,2.2668,3.8298,30
ewc,1,170,1.7638,1.6197,2.2668,3.8298,30
ewc,1,175,1.7638,1.6197,2.2668,3.8298,30
ewc,1,180,1.7638,1.6197,2.2668,3.8298,30
ewc,1,185,1.7638,1.6197,2.2668,3.8298,30
ewc,1,190,1.7638,1.6197,2.2668,3.8298,30
ewc,1,195,1.7638,1.6197,2.2668,3.8298,30
ewc,1,200,1.7638,1.6197,2.2668,3.8298,30
ewc,1,205,1.7638,1.6197,2.2668,3.8298,30
ewc,1,210,1.7638,1.6197,2.2668,3.8298,30
ewc,1,215,1.7638,1.6197,2.2668,3.8298,30
ewc,1,220,1.7638,1.6197,2.2668,3.8298,30
ewc,1,225,1.7638,1.6197,2.2668,3.8298,30
ewc,1,230,1.7638,1.6197,2.2668,3.8298,30
ewc,1,235,1.7638,1.6197,2.2668,3.8298,30
ewc,1,240,1.7638,1.6197,2.2668,3.8298,30
ewc,1,245,1.7638,1.6197,2.2668,3.8298,30
ewc,1,250,1.7638,1.6197,2.2668,3.8298,30
ewc,1,255,1.7638,1.6197,2.2668,3.8298,30
ewc,1,260,1.7638,1.6197,2.2668,3.8298,30
ewc,1,265,1.7638,1.6197,2.2668,3.8298,30
ewc,1,270,1.7638,1.6197,2.2668,3.8298,30
ewc,1,275,1.7638,1.6197,2.2668,3.8298,30
ewc,1,280,1.7638,1.6197,2.2668,3.8298,30
ewc,1,285,1.7638,1.6197,2.2668,3.8298,30
ewc,1,290,1.7638,1.6197,2.2668,3.8298,30
ewc,1,295,1.7638,1.6197,2.2668,3.8298,30
ewc,2,0,1.1735,1.0172,1.4546,3.8298,30
ewc,2,5,1.1628,1.0261,1.4416,3.8298,30
ewc,2,10,1.3501,1.1000,1.4812,3.8298,30
ewc,2,15,1.5373,1.2218,1.6756,3.8298,30
ewc,2,20,1.7111,1.4210,1.8819,3.8298,30
ewc,2,25,1.8972,1.7734,2.0934,3.8298,30
ewc,2,30,1.9929,1.8665,2.3448,3.8298,30
ewc,2,35,1.9948,1.8376,2.3478,3.8298,30
ewc,2,40,2.0031,1.8700,2.3639,3.8298,30
ewc,2,45,1.9822,1.8795,2.4487,3.8298,30
ewc,2,50,2.3762,1.9227,2.7342,3.8298,30
ewc,2,55,2.6264,2.3762,3.1332,3.8298,30
ewc,2,60,2.7819,2.4671,3.3598,3.8298,30
ewc,2,65,2.9450,2.5933,3.5711,3.8298,30
ewc,2,70,3.0793,2.5211,3.5724,3.8298,30
ewc,2,75,3.2497,2.6271,3.5546,3.8298,30
ewc,2,80,3.3265,2.6852,3.7940,3.8298,30
ewc,2,85,3.5062,2.8538,4.3070,3.8298,30
ewc,2,90,3.6617,2.8553,4.3109,3.8298,30
ewc,2,95,3.6871,2.7763,5.6087,3.8298,30
ewc,2,100,4.0388,2.7743,5.6630,3.8298,30
ewc,2,105,4.5916,2.7186,5.6505,3.8298,30
ewc,2,110,4.5489,2.7721,5.7354,3.8298,30
ewc,2,115,4.6135,2.7540,6.2854,3.8298,30
ewc,2,120,4.6647,2.7742,6.4510,3.8298,30
ewc,2,125,4.7731,2.7774,6.3468,3.8298,30
ewc,2,130,4.7204,2.7851,6.7951,3.8298,30
ewc,2,135,4.9076,2.7517,7.1653,3.8298,30
ewc,2,140,5.4459,2.7597,6.6396,3.8298,30
ewc,2,145,5.5730,2.7756,7.3192,3.8298,30
ewc,2,150,4.8233,2.7546,7.8498,3.8298,30
ewc,2,155,5.1830,2.6760,6.7136,3.8298,30
ewc,2,160,5.3157,2.6616,7.6311,3.8298,30
ewc,2,165,5.5013,2.7143,7.8537,3.8298,30
ewc,2,170,5.4957,2.7429,7.9693,3.8298,30
ewc,2,175,5.2698,2.9995,8.3644,3.8298,30
ewc,2,180,5.2646,2.7499,7.9883,3.8298,30
ewc,2,185,5.2747,2.7346,7.9172,3.8298,30
ewc,2,190,5.1923,2.6551,8.1508,3.8298,30
ewc,2,195,5.9687,2.6551,8.0096,3.8298,30
ewc,2,200,5.9872,2.7879,8.3496,3.8298,30
ewc,2,205,6.4650,2.7092,8.3038,3.8298,30
ewc,2,210,6.2803,2.7910,8.4049,3.8298,30
ewc,2,215,6.5326,3.0576,8.3588,3.8298,30
ewc,2,220,6.2387,2.9072,8.8169,3.8298,30
ewc,2,225,6.2247,2.9165,8.7585,3.8298,30
ewc,2,230,6.3989,3.1803,8.7592,3.8298,30
ewc,2,235,6.4609,3.1221,8.8682,3.8298,30
ewc,2,240,6.5622,3.3146,9.0564,3.8298,30
ewc,2,245,6.2262,3.4610,8.9218,3.8298,30
ewc,2,250,6.2179,3.5042,8.9202,3.8298,30
ewc,2,255,6.7732,3.5750,9.0049,3.8298,30
ewc,2,260,5.9734,3.5051,9.0445,3.8298,30
ewc,2,265,5.9166,3.6295,9.0558,3.8298,30
ewc,2,270,5.9741,3.6809,9.2299,3.8298,30
ewc,2,275,6.0297,3.6968,9.1111,3.8298,30
ewc,2,280,6.1011,3.6921,9.8443,3.8298,30
ewc,2,285,6.2548,3.3098,9.3931,3.8298,30
ewc,2,290,6.3393,3.3806,9.2650,3.8298,30
ewc,2,295,6.7030,3.4222,9.8771,3.8298,30
ewc,3,0,1.1675,1.0112,1.4499,3.8298,30
ewc,3,5,1.1580,1.0238,1.4424,3.8298,30
ewc,3,10,1.1714,1.0390,1.4500,3.8298,30
ewc,3,15,1.2263,1.0603,1.4695,3.8298,30
ewc,3,20,1.3164,1.1194,1.5052,3.8298,30
ewc,3,25,1.3857,1.1964,1.5354,3.8298,30
ewc,3,30,1.3775,1.1801,1.5362,3.8298,30
ewc,3,35,1.3476,1.1629,1.5177,3.8298,30
ewc,3,40,1.4725,1.1180,1.7221,3.8298,30
ewc,3,45,1.7642,1.3070,2.1959,3.8298,30
ewc,3,50,1.9222,1.4543,2.0822,3.8298,30
ewc,3,55,1.8319,1.6189,2.0947,3.8298,30
ewc,3,60,1.9624,1.6670,2.1812,3.8298,30
ewc,3,65,2.1840,1.7791,2.7469,3.8298,30
ewc,3,70,2.1616,2.0330,2.9618,3.8298,30
ewc,3,75,2.5311,1.9509,2.9700,3.8298,30
ewc,3,80,2.7746,2.0471,3.4032,3.8298,30
ewc,3,85,2.7781,2.1056,3.6577,3.8298,30
ewc,3,90,2.8409,2.0106,5.4256,3.8298,30
ewc,3,95,2.9448,2.2267,3.3751,3.8298,30
ewc,3,100,3.0631,2.1223,3.7062,3.8298,30
ewc,3,105,2.9822,2.2379,3.5531,3.8298,30
ewc,3,110,2.9168,2.1043,3.6372,3.8298,30
ewc,3,115,2.8279,2.1479,3.6488,3.8298,30
ewc,3,120,3.0553,2.0944,4.4627,3.8298,30
ewc,3,125,3.0518,2.1687,4.5054,3.8298,30
ewc,3,130,3.0513,2.1062,4.0544,3.8298,30
ewc,3,135,3.0535,2.0892,3.8476,3.8298,30
ewc,3,140,2.9998,2.1092,3.8427,3.8298,30
ewc,3,145,3.0826,2.1128,3.9589,3.8298,30
ewc,3,150,3.1003,2.1177,4.0455,3.8298,30
ewc,3,155,3.0565,2.1199,4.1078,3.8298,30
ewc,3,160,3.0586,2.1222,4.0082,3.8298,30
ewc,3,165,3.0670,2.1324,4.1010,3.8298,30
ewc,3,170,3.0763,2.0676,4.1006,3.8298,30
ewc,3,175,3.1350,2.1019,4.3637,3.8298,30
ewc,3,180,3.1355,2.0606,4.7753,3.8298,30
ewc,3,185,3.1249,2.0606,4.7770,3.8298,30
ewc,3,190,3.0862,2.0606,4.3790,3.8298,30
ewc,3,195,3.0964,2.0606,4.4365,3.8298,30
ewc,3,200,3.0997,2.0606,4.5429,3.8298,30
ewc,3,205,3.1047,2.0606,4.4091,3.8298,30
ewc,3,210,3.1067,2.0606,4.4063,3.8298,30
ewc,3,215,3.1143,2.0606,4.5303,3.8298,30
ewc,3,220,3.1267,2.0606,4.1995,3.8298,30
ewc,3,225,3.1559,2.0606,4.1585,3.8298,30
ewc,3,230,3.2372,2.0606,4.1782,3.8298,30
ewc,3,235,3.2511,2.0606,4.3108,3.8298,30
ewc,3,240,3.2633,2.0606,4.5907,3.8298,30
ewc,3,245,3.2810,2.0606,4.6443,3.8298,30
ewc,3,250,3.4100,2.0606,4.6934,3.8298,30
ewc,3,255,3.6617,2.0606,4.5997,3.8298,30
ewc,3,260,3.4460,2.0606,4.6402,3.8298,30
ewc,3,265,3.4057,2.0606,4.6329,3.8298,30
ewc,3,270,3.4362,2.0606,4.6076,3.8298,30
ewc,3,275,3.4746,2.0606,4.9095,3.8298,30
ewc,3,280,3.4720,2.0606,4.7162,3.8298,30
ewc,3,285,3.5735,2.0606,4.8599,3.8298,30
ewc,3,290,3.6882,2.0606,4.9753,3.8298,30
ewc,3,295,3.7722,2.0606,4.9321,3.8298,30
ewc,4,0,1.1602,1.0264,1.4504,3.8298,30
ewc,4,5,1.1332,1.0291,1.4342,3.8298,30
ewc,4,10,1.1499,1.0662,1.4379,3.8298,30
ewc,4,15,1.1926,1.0874,1.4569,3.8298,30
ewc,4,20,1.2096,1.0953,1.4729,3.8298,30
ewc,4,25,1.2573,1.1112,1.4982,3.8298,30
ewc,4,30,1.3702,1.1484,1.5305,3.8298,30
ewc,4,35,1.4450,1.1789,1.5662,3.8298,30
ewc,4,40,1.4652,1.1713,1.6783,3.8298,30
ewc,4,45,1.7502,1.3405,2.4313,3.8298,30
ewc,4,50,2.0035,1.6154,2.5906,3.8298,30
ewc,4,55,1.8264,1.5223,2.3500,3.8298,30
ewc,4,60,1.8947,1.5094,2.3241,3.8298,30
ewc,4,65,2.0142,1.5612,2.5108,3.8298,30
ewc,4,70,2.0366,1.6879,2.5273,3.8298,30
ewc,4,75,2.2349,1.9092,2.7253,3.8298,30
ewc,4,80,2.4127,1.9475,3.0529,3.8298,30
ewc,4,85,2.5141,2.0396,3.2227,3.8298,30
ewc,4,90,2.3931,1.9299,3.3603,3.8298,30
ewc,4,95,2.5045,2.0720,3.5404,3.8298,30
ewc,4,100,2.9226,2.4433,4.0427,3.8298,30
ewc,4,105,3.4217,2.4655,4.3374,3.8298,30
ewc,4,110,3.4344,2.5527,5.2468,3.8298,30
ewc,4,115,3.7320,2.7831,5.6772,3.8298,30
ewc,4,120,3.8333,2.8543,5.6320,3.8298,30
ewc,4,125,4.1295,3.1385,5.5360,3.8298,30
ewc,4,130,4.2942,3.2290,5.5089,3.8298,30
ewc,4,135,4.2305,3.3769,5.6988,3.8298,30
ewc,4,140,4.2758,3.5561,5.6494,3.8298,30
ewc,4,145,4.4551,3.6872,5.2881,3.8298,30
ewc,4,150,4.5543,3.7094,6.0534,3.8298,30
ewc,4,155,4.6868,3.7718,6.2525,3.8298,30
ewc,4,160,4.4674,3.9038,6.0992,3.8298,30
ewc,4,165,4.7254,3.8453,6.3681,3.8298,30
ewc,4,170,4.8877,3.9543,6.3171,3.8298,30
ewc,4,175,4.9449,4.1034,6.2038,3.8298,30
ewc,4,180,5.2516,4.1531,5.9886,3.8298,30
ewc,4,185,5.1480,4.1231,6.0058,3.8298,30
ewc,4,190,4.9602,4.3224,6.0166,3.8298,30
ewc,4,195,5.2203,4.2810,6.3432,3.8298,30
ewc,4,200,5.2920,4.3522,6.6733,3.8298,30
ewc,4,205,5.4808,4.4980,6.5258,3.8298,30
ewc,4,210,5.6349,4.4871,6.5177,3.8298,30
ewc,4,215,5.7201,4.7422,7.0269,3.8298,30
ewc,4,220,5.7572,4.8881,6.6421,3.8298,30
ewc,4,225,5.7983,4.8577,6.7508,3.8298,30
ewc,4,230,5.8765,5.0234,6.6377,3.8298,30
ewc,4,235,5.8798,5.1956,6.6493,3.8298,30
ewc,4,240,5.8642,5.2057,6.6553,3.8298,30
ewc,4,245,5.9661,5.4768,6.6779,3.8298,30
ewc,4,250,6.0625,5.4119,6.7645,3.8298,30
ewc,4,255,6.1111,5.4583,6.7994,3.8298,30
